Navn,Stasjon,Tid(norsk normaltid),Middeltemperatur (døgn),Maksimumstemperatur (døgn),Minimumstemperatur (døgn)
Oslo - Blindern,SN18700,24.03.2024,3.8,6.8,2.4
Tromsø,SN90450,24.03.2024,-2.7,-0.6,-4.8
Oslo - Blindern,SN18700,25.03.2024,1,3.6,0.3
Tromsø,SN90450,25.03.2024,-3.3,1.1,-6.8
Oslo - Blindern,SN18700,26.03.2024,1.3,2.8,-0.1
Tromsø,SN90450,26.03.2024,-3.6,-1.4,-7.7
Oslo - Blindern,SN18700,27.03.2024,3.3,4.6,0.8
Tromsø,SN90450,27.03.2024,-3.1,-0.6,-6.8
Oslo - Blindern,SN18700,28.03.2024,6.1,8.6,4
Tromsø,SN90450,28.03.2024,-2.4,2.7,-7.2
Oslo - Blindern,SN18700,29.03.2024,5.8,7.2,4.6
Tromsø,SN90450,29.03.2024,-2.3,3.1,-7
Oslo - Blindern,SN18700,30.03.2024,5.7,7.3,4.1
Tromsø,SN90450,30.03.2024,-1.2,2.5,-4.3
Oslo - Blindern,SN18700,31.03.2024,6.4,10.1,5.5
Tromsø,SN90450,31.03.2024,-2.7,0.6,-4.3
Oslo - Blindern,SN18700,01.04.2024,7.1,11.3,1.1
Tromsø,SN90450,01.04.2024,-5.6,-1.7,-7.4
Oslo - Blindern,SN18700,02.04.2024,2.9,9.1,2
Tromsø,SN90450,02.04.2024,-6,-3.2,-11
Oslo - Blindern,SN18700,03.04.2024,0.8,3.6,-0.3
Tromsø,SN90450,03.04.2024,-4.7,-0.3,-7
Oslo - Blindern,SN18700,04.04.2024,-2.4,1.1,-3.6
Tromsø,SN90450,04.04.2024,-6.6,-2.9,-11.5
Oslo - Blindern,SN18700,05.04.2024,-0.1,2.5,-2.3
Tromsø,SN90450,05.04.2024,-5.1,-1.9,-8.5
Oslo - Blindern,SN18700,06.04.2024,2.5,4.3,-0.3
Tromsø,SN90450,06.04.2024,-3.9,-1.4,-6.7
Oslo - Blindern,SN18700,07.04.2024,7,12.6,3.1
Tromsø,SN90450,07.04.2024,-1.8,2.2,-7.4
Oslo - Blindern,SN18700,08.04.2024,8.6,12.9,5.9
Tromsø,SN90450,08.04.2024,0.3,2.4,-2.4
Oslo - Blindern,SN18700,09.04.2024,8.4,11.4,5.5
Tromsø,SN90450,09.04.2024,2.7,4.3,0.8
Oslo - Blindern,SN18700,10.04.2024,8.3,12.4,6.6
Tromsø,SN90450,10.04.2024,5.6,7.8,3.4
Oslo - Blindern,SN18700,11.04.2024,9.9,18.5,4.2
Tromsø,SN90450,11.04.2024,2.9,4.3,2.2
Oslo - Blindern,SN18700,12.04.2024,8.4,14.8,3.8
Tromsø,SN90450,12.04.2024,3.6,6.9,0.6
Oslo - Blindern,SN18700,13.04.2024,10.2,17,5.4
Tromsø,SN90450,13.04.2024,5.2,6.9,2.2
Oslo - Blindern,SN18700,14.04.2024,8.3,12.7,5.4
Tromsø,SN90450,14.04.2024,3,6.7,1.7
Oslo - Blindern,SN18700,15.04.2024,5.9,11.8,-1
Tromsø,SN90450,15.04.2024,0.8,3.7,-0.3
Oslo - Blindern,SN18700,16.04.2024,6.2,11.2,2.8
Tromsø,SN90450,16.04.2024,1.1,4.9,-1.6
Oslo - Blindern,SN18700,17.04.2024,4.6,9,-0.9
Tromsø,SN90450,17.04.2024,-0.8,2.3,-2.4
Oslo - Blindern,SN18700,18.04.2024,4.5,8.9,0.5
Tromsø,SN90450,18.04.2024,-1.7,0.9,-5.4
Oslo - Blindern,SN18700,19.04.2024,2.8,6.3,0.3
Tromsø,SN90450,19.04.2024,0.3,3.1,-4.2
Oslo - Blindern,SN18700,20.04.2024,5,10.2,-1.3
Tromsø,SN90450,20.04.2024,-0.4,3.1,-4.1
Oslo - Blindern,SN18700,21.04.2024,5.6,10.1,1.9
Tromsø,SN90450,21.04.2024,-1.2,1.7,-3.7
Oslo - Blindern,SN18700,22.04.2024,4.1,9.7,-2.1
Tromsø,SN90450,22.04.2024,-0.5,2.1,-3.3
Oslo - Blindern,SN18700,23.04.2024,5.7,10.7,1.5
Tromsø,SN90450,23.04.2024,-0.7,3.1,-5
